"recovery","recovery_sd","recovery_q05","recovery_q95","size","size_sd","method","n","e","pi"
0.028,0.07531751,0,0.2,0.41,0.6046119,1,200,-0.4,0.3
0,0,0,0,0,0,2,200,-0.4,0.3
0.294,0.17397318,0,0.6,1.47,0.8698659,3,200,-0.4,0.3
0.036,0.08706204,0,0.2,0.45,0.625631,1,200,-0.38,0.3
0,0,0,0,0,0,2,200,-0.38,0.3
0.37,0.19358395,0,0.8,1.85,0.9679198,3,200,-0.38,0.3
0.046,0.10192094,0,0.2,0.49,0.6889459,1,200,-0.36,0.3
0,0,0,0,0,0,2,200,-0.36,0.3
0.462,0.19631967,0.2,0.8,2.31,0.9815984,3,200,-0.36,0.3
0.056,0.11399096,0,0.4,0.53,0.7310571,1,200,-0.34,0.3
0,0,0,0,0,0,2,200,-0.34,0.3
0.576,0.2035642,0.2,0.81,2.88,1.017821,3,200,-0.34,0.3
0.082,0.13661122,0,0.4,0.65,0.8211227,1,200,-0.32,0.3
0,0,0,0,0,0,2,200,-0.32,0.3
0.688,0.21708817,0.2,1,3.44,1.0854408,3,200,-0.32,0.3
0.12,0.14494862,0,0.4,0.83,0.8294455,1,200,-0.3,0.3
0,0,0,0,0,0,2,200,-0.3,0.3
0.784,0.17679526,0.59,1,3.92,0.8839763,3,200,-0.3,0.3
0.17,0.17144661,0,0.4,1.06,0.9828838,1,200,-0.28,0.3
0,0,0,0,0,0,2,200,-0.28,0.3
0.864,0.14461373,0.6,1,4.32,0.7230687,3,200,-0.28,0.3
0.25,0.17837652,0,0.6,1.45,0.9885711,1,200,-0.26,0.3
0,0,0,0,0,0,2,200,-0.26,0.3
0.928,0.10832051,0.8,1,4.64,0.5416026,3,200,-0.26,0.3
0.35,0.1828506,0,0.6,1.94,0.9931076,1,200,-0.24,0.3
0,0,0,0,0,0,2,200,-0.24,0.3
0.96,0.08528029,0.8,1,4.8,0.4264014,3,200,-0.24,0.3
0.472,0.18967276,0.2,0.8,2.54,0.9579017,1,200,-0.22,0.3
0,0,0,0,0,0,2,200,-0.22,0.3
